Organic Chemicals;4078989
Chemical Phenomena;4330529
Enzymes;2745400
Bacteria;1252449
Blood Proteins;1507024
Europe;1300070
Lipids;1080916
Amino Acids;764582
Digestive System;1146586
Case-Control Studies;911862
Pharmaceutical Preparations*;717538
Risk;1058545
Carrier Proteins;1052946
Cells, Cultured;1498961
Amines;928306
Mental Disorders;1116958
Drug Therapy;1238073
Cohort Studies;1735502
Heart Diseases;1034087
Health Surveys;500559
Nutritional Physiological Phenomena;538131
Molecular Structure;1607279
Gene Expression Regulation;870279
Neurons;506224
Socioeconomic Factors;408011
Cardiovascular Diseases;2184202
Oxidoreductases;626209
Diagnosis, Differential;425487
Gastrointestinal Diseases;882861
Sensitivity and Specificity;522882
Brain;1119741
Pregnancy Complications;394287
Cell Line;882331
Hemodynamics;638886
Heart;468912
Infant, Newborn;565169
Models, Statistical;360139
Amides;413331
Models, Animal;508203
Regression Analysis;379719
Infant;1062465
United Kingdom;343471
Follow-Up Studies;589503
Glycosides;306828
Magnoliopsida;507443
Health Behavior;278966
Models, Molecular;253435
Research Design;399738
Attitude to Health;368887
Biological Products;512397
Adenocarcinoma;341244
Biomarkers;646729
Indicators and Reagents;230653
Retrospective Studies;683351
Nutrition Disorders;317269
Liver Diseases;507536
Cattle;329685
Diabetes Mellitus;380730
Animals;21483557
Behavior, Animal;247514
Heterocyclic Compounds, 3-Ring;246421
Fatty Acids;425743
Severity of Illness Index;221081
Cell Proliferation;355275
Radionuclide Imaging;196874
Inflammation;294354
Terpenes;294140
Apoptosis;237761
Body Weight;418966
Escherichia coli;261624
Hospitalization;206047
Child;1765449
Coronary Disease;204287
Child, Preschool;849568
Purines;489939
Pregnancy;832078
Binding Sites;293654
Gastrointestinal Tract;607228
Erythrocytes;173352
Colorectal Neoplasms;179924
Disease Models, Animal;470821
Acute Disease;202970
Mice;1412967
Receptors, Cytoplasmic and Nuclear;143458
Fishes;169353
Reactive Oxygen Species;168758
Neoplasms;3036763
Predictive Value of Tests;180546
Mice, Inbred C57BL;249856
Cell Line, Tumor;556340
Oligopeptides;284406
Professional-Patient Relations;133622
Neoplasm Proteins;400844
Transfection;145337
Complementary Therapies*;207338
Alkaloids;436912
Pain;357134
Myocardium;177628
United States;1259764
Communication;273417
Obesity;184424
Protein-Tyrosine Kinases;189816
Phenotype;268936
Cognition;138884
Quality of Life;160961
Prevalence;251001
Smoking;135582
Polymorphism, Genetic;245719
Membrane Transport Proteins;444523
Logistic Models;121666
Kidney Diseases;473349
Algorithms;273072
Body Mass Index;109187
Drug Resistance;293670
Genotype;368337
Reverse Transcriptase Polymerase Chain Reaction;149211
Mice, Inbred BALB C;159806
Species Specificity;190843
Blotting, Western;157657
Arthritis, Rheumatoid;105007
Plant Extracts*;145283
Structure-Activity Relationship;173490
Swine;203699
Dosage Forms;281578
Urea;108933
Mycoses;118030
Nanoparticles;96877
Calcium;258654
Central Nervous System Depressants;229013
Surveys and Questionnaires;894126
Rabbits;332271
Aging;227698
Malnutrition;113592
Cholesterol;150977
Recombinant Proteins;310725
Multivariate Analysis;112977
Japan;120665
Naphthalenes;137794
Combined Modality Therapy;237035
Benzoates;154758
Androstenes;91027
Protease Inhibitors;108805
Feeding Behavior;152937
Guidelines as Topic;142905
Prospective Studies;470480
Chronic Disease;247868
Feces;88266
Microbial Sensitivity Tests;114085
Prostatic Neoplasms;113717
Sodium;113518
Beverages*;120944
Chromatography, Liquid;393397
Membrane Transport Modulators;85501
Age Factors;468172
Attitude of Health Personnel;144140
Ethanolamines;203161
Potassium;100959
Lung Neoplasms;208598
Arrhythmias, Cardiac;191353
Phenols;255206
Oxidation-Reduction;228589
Minerals;146584
Cognition Disorders;80485
Asthma;119125
In Vitro Techniques;567647
RNA, Messenger;394178
Patient Satisfaction;78517
Reaction Time;93762
Myocardial Infarction;163427
Databases, Factual;111712
Antineoplastic Combined Chemotherapy Protocols;126573
Chromatography, Gas;88844
Solutions;110900
Treatment Outcome;866016
Comorbidity;92939
Heart Failure;106934
Acetates;141295
Blood Coagulation Disorders;91141
Gene Expression Regulation, Enzymologic;76476
Kidney;332647
Anesthetics;101612
Lactones;134851
Particle Size;73922
Tuberculosis, Pulmonary;72802
Models, Biological;743472
Breast Neoplasms;262626
Cell Survival;170594
Oxidative Stress;111028
Alcoholism;71774
Psychotropic Drugs;148751
Electrocardiography;193875
China;147604
Colon;63988
Polyethylene Glycols;63323
Clinical Competence;82163
Diterpenes;119590
Drinking;75376
Aged, 80 and over;794222
Benzazepines;81264
Aged;2799811
Cyclohexanes;118210
Lactation;68241
Meat;61566
Protein Binding;252480
Stroke;113121
Iron;89253
Adolescent;1858106
Preoperative Care;65008
Pyrimidinones;145216
Anti-Infective Agents;632917
Risk Factors;720160
Up-Regulation;121720
Drug Evaluation, Preclinical;215406
Osteoarthritis;54978
Insulin;175128
Female;7904180
Hemorrhage;301726
Reproducibility of Results;355592
Cross-Sectional Studies;263894
Computer Simulation;204628
Fatal Outcome;58621
HIV-1;73472
Osmolar Concentration;66699
Serum Albumin;76868
Patient Acceptance of Health Care;132390
Mass Spectrometry;217424
Ischemia;55424
Drug Delivery Systems;120890
Thrombosis;120675
Technology, Pharmaceutical;133917
Anti-Inflammatory Agents;143800
Stilbenes;49481
Self Care;49459
Imidazoles;250700
Time Factors;1119355
Plant Preparations*;194158
Patient Compliance;67928
Critical Care;51762
Psychomotor Performance;103394
Colonic Neoplasms;69823
Indoles;297637
Middle Aged;3924306
Humans;17034839
Patient Selection;58864
Uracil;67241
Cardiovascular Agents;249959
Depression;190367
Carcinoma, Non-Small-Cell Lung;44140
Prednisolone;48404
European Continental Ancestry Group;61337
Kidney Failure, Chronic;87548
Fabaceae;65304
Graft Rejection;56380
Sex Factors;242782
Cisplatin;47624
Anxiety;73238
Kinetics;469749
Hydrazines;46477
Triglycerides;71750
Adult;6523852
Drug Evaluation;41684
Water;158041
Practice Guidelines as Topic;103524
Antirheumatic Agents;98973
Reference Standards;41047
Biological Transport, Active;40936
Dogs;314805
Vitamin D;53040
Blood Platelets;72903
Thrombocytopenia;44425
Rats;1542520
Antiprotozoal Agents;40237
Psychotic Disorders;47949
Oocytes;43614
Drug Hypersensitivity;43143
Binding, Competitive;50957
Biological Transport;284252
Sulfides;42684
Pharmaceutical Preparations;717538
Drug Carriers;76513
Statistics, Nonparametric;68805
Cyclosporins;38213
Phenylalanine;64398
Pilot Projects;105961
Creatinine;52721
Blood Glucose;150417
Animal Feed;45007
Solvents;52086
Proline;36942
Oxazines;36937
Analgesics;173329
Venous Thrombosis;51201
Gastrointestinal Agents;47436
Substrate Specificity;91038
Schizophrenia;97391
Pulmonary Embolism;36062
Isoquinolines;57693
Internet;68418
Male;7799493
Atherosclerosis;35725
Glutathione;53434
Adjuvants, Immunologic;35456
Quality Control;45797
Hydrogen-Ion Concentration;289869
Bile Acids and Salts;34775
Antiparasitic Agents;62276
Furans;34509
Propanolamines;68959
Saliva;37843
Malabsorption Syndromes;37002
Estrogens;60278
Gastrointestinal Absorption;42999
Sulfones;150818
Receptors, Steroid;81685
Drug Therapy, Combination;299415
Gastrointestinal Motility;35451
Intestines;366164
Taiwan;31833
Plants, Medicinal*;56753
Risk Assessment;228901
Epilepsy;102784
Estradiol;80286
Physician-Patient Relations;67682
Stomach;119895
Kidney Transplantation;88734
Blood Pressure;291217
Neuroprotective Agents;30111
Analysis of Variance;318955
Zinc;55978
Pyrrolidinones;32333
Fluoresceins;29353
Testosterone;67482
Anticoagulants*;73218
Pyrroles;143465
Cell Membrane Permeability;32068
Phenanthrenes;84373
Edema;40484
Intestine, Small;155335
Drug Design;48613
Food;545728
Hyperlipidemias;62457
Anti-Retroviral Agents;61965
Hydrocortisone;69723
Pyrimidines;349772
Gastric Mucosa;46929
Pyridines;245117
Seizures;57821
Randomized Controlled Trials as Topic;117796
Safety;70782
Pharmacokinetics;285642
Hyperglycemia;32500
Metabolic Syndrome;26881
Biphenyl Compounds;39795
Gastric Juice;29084
Dermatologic Agents;44803
Heart Rate;159706
Sex Characteristics;49679
Clinical Trials as Topic;313116
Micronutrients;53756
Injections, Intraperitoneal;30566
Seeds;53224
Ileum;39803
Hepacivirus;29794
Sucrose;29673
Calibration;34542
Vomiting;29183
Drug Resistance, Neoplasm;41071
Linear Models;72382
Microsomes;60100
Nurse's Role;38460
Diabetes Mellitus, Type 2;113337
Monoterpenes;25917
Gas Chromatography-Mass Spectrometry;44480
Diabetes Mellitus, Experimental;39751
Quinolines;109575
Tissue Distribution;82524
Acquired Immunodeficiency Syndrome;75120
Uric Acid;22551
Spectrophotometry, Ultraviolet;55778
Psoriasis;35498
Pharmaceutical Solutions;33274
Doxorubicin;51017
Viscosity;26522
Mice, Inbred ICR;28509
Taxoids;32874
Young Adult;655643
Glutathione Transferase;25916
Diarrhea;49389
Placebos;33882
Enzyme Inhibitors;430554
Duodenum;44079
Anti-Bacterial Agents;334000
Bipolar Disorder;37016
Depressive Disorder;98684
Drug Utilization;22449
Glycine;34586
Fatigue;26419
Organophosphonates;44328
Reference Values;153996
Citrates;21952
Stereoisomerism;81817
Complementary Therapies;207338
HEK293 Cells;37805
Hypolipidemic Agents;51282
Anaphylaxis;19712
HIV Infections;261812
Platelet Aggregation;31459
Benzodiazepines;62610
Hypothyroidism;31157
Carbamates;57899
Hypertension;238598
Sesquiterpenes;34387
Dietary Carbohydrates;79523
Republic of Korea;20633
Plant Leaves;58082
Propranolol;31751
Foodborne Diseases;18440
Pyrrolidines;64923
Confidence Intervals;32446
Antiretroviral Therapy, Highly Active;19647
Limit of Detection;19422
Legislation, Drug;29766
Analgesics, Non-Narcotic;87466
Health Care Surveys;31403
Dipeptides;24138
Rats, Wistar;230031
Diet;248238
Piperidines;130004
Isoenzymes;80191
Folic Acid;35046
Drug Tolerance;21625
Mixed Function Oxygenases;149650
Spectrometry, Mass, Electrospray Ionization;31352
Random Allocation;94004
Administration, Cutaneous;19786
Hemostatics;16479
Health Knowledge, Attitudes, Practice;95426
ATP-Binding Cassette Transporters;45489
Antiviral Agents;129732
Melatonin;17776
gamma-Aminobutyric Acid;41848
Thromboembolism;51213
Organophosphates;25349
Liver;420088
Permeability;51402
Migraine Disorders;24848
Depressive Disorder, Major;25802
Food Analysis;18115
Food Hypersensitivity;17985
Plants, Toxic;16469
Medicine, Traditional;34005
Warfarin*;17682
Plant Roots;52889
Bile;24830
Alcohol Drinking;62336
Milk;73824
Ascorbic Acid;40178
Fatty Acids, Omega-3;21521
Dihydropyridines;31469
Parenteral Nutrition;22867
Thyroxine;46873
Pyrazines;21272
Lithium;21271
Dietary Proteins;89282
Azepines;14066
Paclitaxel;23833
Single-Blind Method;25034
Nursing Assessment;31882
Nutritive Value;13848
Inpatients;17908
Anti-Asthmatic Agents;27549
Rats, Sprague-Dawley;286340
Tetracycline;19247
Soybeans;19171
Energy Intake;42237
Atrial Fibrillation;46233
Drug Prescriptions;29833
Contraceptives, Oral;27091
Benzamides;48718
