 Permanent/methods,3
Immunoassay/methods*,1
Aorta/physiology,1
Hypertension/physiopathology,6
Hydrostatic Pressure/adverse effects*,1
Myocardial Ischemia/etiology,2
Anesthesiology/education*,1
Physicians*/history,2
Hypothalamus/anatomy & histology*,1
Mycobacterium tuberculosis/pathogenicity*,1
Erythroblasts/metabolism,1
Esters/chemistry*,1
Resuscitation,3
Lymph Node Excision/methods,2
Ephedra/adverse effects,1
Research Design/trends,1
Cytoskeleton/radiation effects*,1
Thyroid Hormones/administration & dosage,1
 Infectious/epidemiology*,1
Angiotensin-Converting Enzyme Inhibitors/pharmacology,1
DNA-Binding Proteins/chemistry,1
 Cultured,137
Angiotensin II Type 1 Receptor Blockers/pharmacokinetics,1
Public Relations*,2
 Platelet-Derived Growth Factor beta/genetics,1
1,1
Cathepsin K/biosynthesis,1
2,2
3,3
4,5
5,1
8,5
Macrocyclic Compounds/metabolism,1
 Myeloid/complications,2
Data Collection,16
Neuromuscular Junction/genetics,2
Facial Muscles/drug effects*,1
Cerebrovascular Disorders/complications,1
 Developmental/diagnosis*,1
Multicenter Studies as Topic,1
Naphthalenes/pharmacology,2
Heart/embryology,1
Child Development,3
Protein Interaction Domains and Motifs,3
 Ocular,4
Endotoxins*,1
Sinoatrial Node/drug effects*,1
Germination/physiology*,1
 ErbB-3/drug effects,1
DNA Damage/genetics,1
Parotid Gland,1
 tat/immunology*,1
Ribitol/genetics,1
Executive Function/physiology*,3
Antimetabolites,11
Cleft Lip/epidemiology,2
Sleep Wake Disorders/diagnosis*,1
Basal Ganglia/surgery*,1
Radioimmunoassay/methods,1
Nose Neoplasms*/radiotherapy,1
General Practitioners*,1
Photobacterium/metabolism,1
Patients/statistics & numerical data,1
 Intracranial/therapy*,1
Chromosome Pairing,1
 University,5
 T-Cell/analysis,1
Abstracting and Indexing as Topic/methods*,1
Speech Intelligibility*,2
Homeodomain Proteins/metabolism*,1
Feeding Behavior/physiology*,4
Cholestanes/chemistry*,1
Signal Transduction/drug effects*,4
Skin Ulcer/diagnosis,1
 Animal/transmission*,1
Takotsubo Cardiomyopathy/physiopathology,1
Femur/physiopathology*,1
Germ-Line Mutation,3
Protein-Serine-Threonine Kinases/pharmacology,1
Tryptophan/metabolism,1
Manometry,3
Naphthols/analysis,2
 Biliary/drug therapy,1
Cerebral Cortex/cytology*,1
Body Fluids/metabolism*,1
Dialysis,4
Membrane Potentials*,1
Insecticide-Treated Bednets*,1
Paracoccidioides/enzymology,1
Famotidine/pharmacology,1
Hindlimb/abnormalities,1
Microglia/metabolism,1
Leukoplakia/immunology,2
Replicon/genetics,1
Personality Disorders/diagnosis*,1
Phototherapy/methods*,1
Trematoda/metabolism*,1
Thioredoxins/genetics,2
Employment,4
Fetus/metabolism,2
Mitochondria/drug effects,2
 Cultural,1
Fluorouracil/administration & dosage*,1
Basement Membrane/metabolism,1
Chlamydia Infections/prevention & control,1
Carotid Artery Diseases/diagnosis*,1
Arteritis/diagnostic imaging,1
Organophosphorus Compounds/adverse effects,1
Influenza Vaccines/adverse effects*,1
 Cytotoxic/cytology,2
 Cell-Membrane/enzymology*,1
