Citrus	Calcium Channel Blockers	15	B01.650.940.800.575.100.875.177,B01.650.388.100.875.177	D27.505.519.562.249,D27.505.954.411.192
Beverages	Cyclosporine	14	J02.200,G07.203.100	D12.644.641.235.300,D04.345.566.235.300
Beverages	Calcium Channel Blockers	14	J02.200,G07.203.100	D27.505.519.562.249,D27.505.954.411.192
Citrus	Cyclosporine	13	B01.650.940.800.575.100.875.177,B01.650.388.100.875.177	D12.644.641.235.300,D04.345.566.235.300
Citrus	Felodipine	13	B01.650.940.800.575.100.875.177,B01.650.388.100.875.177	D03.383.725.203.250
Diet	Vitamin K	12	G07.203.650.240	D02.455.849.291.523.500,D02.455.426.559.847.638.721.374,D04.615.638.721.374
Beverages	Felodipine	12	J02.200,G07.203.100	D03.383.725.203.250
Enteral Nutrition	Phenytoin	12	E02.642.500.360	D03.383.129.308.432.555.730
Citrus	Cytochrome P-450 Enzyme Inhibitors	12	B01.650.940.800.575.100.875.177,B01.650.388.100.875.177	D27.505.519.389.335,D27.505.389.500
Beverages	Cytochrome P-450 Enzyme Inhibitors	11	J02.200,G07.203.100	D27.505.519.389.335,D27.505.389.500
Citrates	Citric Acid	10	D02.241.081.901.434	D02.241.081.901.434.249
Citric Acid	Aluminum	10	D02.241.081.901.434.249	D01.268.557.050,D01.552.547.050
Citrates	Aluminum	10	D02.241.081.901.434	D01.268.557.050,D01.552.547.050
Diet	Warfarin	10	G07.203.650.240	D03.383.663.283.446.520.914,D03.633.100.150.446.520.914,D03.830.219.446.520.914,D03.438.150.446.520.914
Citrus	Flavonoids	10	B01.650.940.800.575.100.875.177,B01.650.388.100.875.177	D03.830.219.266.450,D03.438.150.266.450,D03.383.663.283.266.450,D03.633.100.150.266.450
Hypericum	Plant Extracts	10	B01.650.388.100.928.249.500,B01.650.940.800.575.100.928.249.500	D26.667
Hypericum	Cyclosporine	9	B01.650.388.100.928.249.500,B01.650.940.800.575.100.928.249.500	D12.644.641.235.300,D04.345.566.235.300
Beverages	Flavonoids	9	J02.200,G07.203.100	D03.830.219.266.450,D03.438.150.266.450,D03.383.663.283.266.450,D03.633.100.150.266.450
Plants, Medicinal	Plant Extracts	9	B01.650.560	D26.667
Plant Extracts	Warfarin	9	D20.215.784.500	D03.383.663.283.446.520.914,D03.633.100.150.446.520.914,D03.830.219.446.520.914,D03.438.150.446.520.914
Alcohol Drinking	Ethanol	8	F01.145.317.269	D02.033.375
Intestinal Absorption	Aluminum	8	G07.203.650.372.500,G07.203.650.593.345.500	D01.268.557.050,D01.552.547.050
Intestinal Absorption	Aluminum Hydroxide	8	G07.203.650.372.500,G07.203.650.593.345.500	D01.045.250.050,D01.248.497.158.459.075,D01.056.037,D01.455.150
Intestinal Absorption	Phenytoin	8	G07.203.650.372.500,G07.203.650.593.345.500	D03.383.129.308.432.555.730
Enteral Nutrition	Ciprofloxacin	8	E02.642.500.360	D03.633.100.810.835.322.186,D03.438.810.835.322.186
Plant Extracts	Anticoagulants	8	D20.215.784.500	D27.505.954.502.119
Dietary Fiber	Digoxin	8	J02.500.400,G07.203.300.400	D09.408.180.261.436,D04.210.500.155.580.130.688,D04.210.500.155.580.130.500.436,D04.808.155.580.130.500.436,D04.808.155.160.349,D04.808.155.580.130.688
Intestinal Absorption	Citric Acid	8	G07.203.650.372.500,G07.203.650.593.345.500	D02.241.081.901.434.249
Citric Acid	Aluminum Hydroxide	8	D02.241.081.901.434.249	D01.045.250.050,D01.248.497.158.459.075,D01.056.037,D01.455.150
