Humans,458
Female,238
Male,236
Animals,170
Adult,136
Middle Aged,121
Aged,99
Rats,72
Child,62
Mice,62
Adolescent,58
Infant,57
Models,40
Receptors,35
Time Factors,34
Carcinoma,30
Newborn,25
80 and over,24
Preschool,22
United States,22
Risk Factors,21
RNA,21
Young Adult,20
Follow-Up Studies,18
Animal,18
Treatment Outcome,18
Microscopy,18
Diabetes Mellitus,17
Education,17
Retrospective Studies,17
Disease Models,16
DNA,16
Molecular Sequence Data,16
Dose-Response Relationship,16
Cultured,15
Pregnancy,15
Chromatography,15
Drug,15
Genes,15
In Vitro Techniques,14
Cell Line,14
History,14
Administration,13
Cells,13
Prospective Studies,13
Sex Factors,12
Prognosis,12
Hospitals,12
Immunohistochemistry,12
Inbred Strains,11
Tomography,11
Rabbits,11
Biomarkers,11
Base Sequence,10
Kidney Failure,10
Plants,10
Gene Expression Regulation,10
Molecular,10
Antibodies,10
Age Factors,9
Inbred C57BL,9
Sensitivity and Specificity,9
Antigens,9
Incidence,9
Reference Values,9
Oral,9
Radiography,9
Reproducibility of Results,9
Surveys and Questionnaires,9
Adaptation,9
Amino Acid Sequence,9
Predictive Value of Tests,8
Combined Modality Therapy,8
Meningitis,8
Genetic*,8
Psychological,8
Polymorphism,8
Species Specificity,8
Fluorescence,8
Signal Transduction,8
Injections,8
Protein Binding,8
Diagnosis,8
Neoplasm Recurrence,8
Kinetics,8
Sprague-Dawley,8
Differential,7
Mutation,7
Cattle,7
Stress,7
Swine,7
Spectrometry,7
Cross-Sectional Studies,7
ATP Binding Cassette Transporter,7
Fracture Fixation,7
Acute Disease,7
Medical,7
Computer Simulation,7
Tumor,7
Drug Resistance,7
Genetic,7
Methods,7
Random Allocation,6
Chronic Disease,6
Algorithms,6
X-Ray Computed,6
Environment,6
Nursing,6
Ligaments,6
Risk Assessment,6
United Kingdom,6
Molecular Structure,6
Double-Blind Method,6
Magnetic Resonance Imaging,6
Referral and Consultation,6
Electron,6
Regression Analysis,6
Japan,6
Mitochondria,6
Antineoplastic Agents,6
Hypertension,6
Cell Transformation,6
Tooth,6
Hydrogen-Ion Concentration,5
Drug Administration Schedule,5
Genetic Diseases,5
Neoplasm Staging,5
Water Pollutants,5
Ganglia,5
Ischemic Attack,5
Muscle,5
Brain/drug effects,5
Viral*,5
Cohort Studies,5
Blotting,5
Transcription,5
Organ Size,5
Chemistry,5
Pregnancy Complications,5
Clinical Trials as Topic,5
Biopsy,5
Polymerase Chain Reaction,5
Evaluation Studies as Topic,5
Electrocardiography,5
Disease*,5
Binding Sites,5
Hyperparathyroidism,5
20th Century,5
Respiration,5
Biological,5
Oxidation-Reduction,5
Influenza,5
Equipment Design,5
Arthritis,4
Western,4
Neoplasms,4
Syndrome,4
World Health Organization,4
HEK293 Cells,4
Arthroplasty,4
Electrophoresis,4
Severity of Illness Index,4
Receptor,4
Molecular*,4
Topical,4
China,4
Wistar,4
Knockout,4
Societies,4
Cartilage,4
Tumor Cells,4
Mass,4
Premature,4
Ligands,4
Drug Evaluation,4
Chemical,4
Medical*,4
Magnetic Resonance Imaging/methods*,4
South Africa,4
England,4
Body Mass Index,4
Herpesvirus 1,4
Chemical Phenomena,4
Replacement,4
Transplantation,4
Optic Neuropathy,4
Blood Pressure,4
Adjuvants,4
Kidney*,4
Malaria,4
Clinical Competence*,4
Drug Therapy,4
Dogs,4
Interviews as Topic,4
Embryo,4
Aneurysm,4
Dementia,4
High Pressure Liquid,4
Automation,4
Child Development*,4
Bacterial*,4
Magnetic Resonance Spectroscopy,4
Protein Structure,4
Opioid,4
Temperature,4
Anemia,4
Messenger/metabolism,4
Phosphorylation,4
Cholangiopancreatography,4
Algorithms*,4
Pneumonia,4
Cost-Benefit Analysis,4
Homeodomain Proteins/genetics,4
Anesthesia,4
Enzyme-Linked Immunosorbent Assay,4
Molecular Weight,3
Stress Disorders,3
Antineoplastic Agents/pharmacology*,3
Food,3
Computer-Assisted,3
New York,3
Fatty Acids,3
Cell Proliferation/drug effects,3
Laser Therapy,3
Single Nucleotide,3
Feasibility Studies,3
Single-Photon,3
Jaw,3
Hydrogen Bonding,3
Leg/blood supply*,3
Gel,3
Norepinephrine/pharmacology*,3
Body Weight,3
Biological*,3
Antiviral Agents/adverse effects,3
Fishes,3
Intravenous,3
Curriculum,3
Brain/metabolism*,3
Repressor Proteins/genetics,3
Brain/metabolism,3
Canada,3
Autoradiography,3
Image Interpretation,3
Guinea Pigs,3
Homeostasis,3
Specialization*,3
Population Density,3
Neoplasms*,3
Activities of Daily Living,3
Suture Techniques,3
Ambulatory Care*,3
Bronchiolitis,3
Blood Pressure/physiology*,3
Inbred BALB C,3
X-Ray,3
Infusions,3
Pilot Projects,3
Brazil,3
Intraductal,3
Animal*,3
Calcium/metabolism*,3
Liver Neoplasms,3
Logistic Models,3
Phenotype,3
Respiratory Distress Syndrome,3
Cardiomyopathy,3
Water Pollution,3
Economics,3
Netherlands,3
Viral/analysis,3
Ventricular Dysfunction,3
Decompression,3
Metals,3
Behavior,3
Sphincterotomy,3
Proportional Hazards Models,3
Quality of Life*,3
Emission-Computed,3
Phenotype*,3
Analysis of Variance,3
Educational Status,3
Liver/metabolism,3
N-Methyl-3,3
Reoperation,3
Certification,3
Computer-Assisted*,3
Anti-Bacterial Agents/therapeutic use,3
DNA Mutational Analysis,3
Messenger/genetics,3
Surgical Procedures,3
Cats,3
Carbon Radioisotopes,3
Brain Injury,3
Water,3
Signal Processing,3
Calcium/blood,3
Financing,3
Image Processing,3
Brain/physiology*,3
Age Distribution,3
Genetics,3
Glucose/metabolism,3
Statistical*,3
Feeding Behavior,3
Population*,3
Endothelium,3
Transmission,3
Nucleic Acid Hybridization,3
Case-Control Studies,3
Tachycardia,3
Survival Analysis,3
Mass Spectrometry,3
Randomized Controlled Trials as Topic,3
Genotype,3
Operative*,3
Transcription Factors/genetics,3
Drugs,3
Sequence Alignment,3
Vaccines,3
Adrenal Cortex Hormones*,3
Transfection,3
Ribosomal,3
Theoretical,3
Hemoglobins/analysis,3
Neoplastic,3
Hemodynamics/physiology,3
Epilepsy,3
Psychology,3
Crystallography,3
Disease Transmission,3
Mammary Neoplasms,3
Prevalence,3
Fractures,3
Hematocrit,3
Toxins,3
21st Century,3
Combination,3
Immunity,3
India,3
Theoretical*,3
Feces/microbiology,3
Organizational Objectives,3
Proteins/chemistry*,3
Kidney Diseases*,3
Blood Pressure Monitoring,3
Flow Cytometry,3
Transgenic,3
Lupus Erythematosus,3
Gestational Age,3
Confocal,3
Microsatellite Repeats/genetics*,2
Physiological,2
Computer Simulation*,2
Diet,2
Selection,2
Multicenter Studies as Topic,2
Plant Proteins/metabolism,2
Light,2
Parenteral Nutrition,2
Prostaglandin Endoperoxides,2
Health Knowledge,2
Artificial*,2
Delivery of Health Care*,2
X-Rays,2
Cluster Analysis,2
Neuroendocrine/diagnosis*,2
Mineralocorticoid Receptor Antagonists/pharmacology,2
Neoplasms/drug therapy*,2
Disruptive,2
Poliovirus Vaccine,2
Protein Kinase C/metabolism,2
Hippocampus/physiology*,2
Polyacrylamide Gel,2
Sex Distribution,2
Severity of Illness Index*,2
Biological Transport,2
Prolactin/secretion,2
Protein Processing,2
Dietary Supplements*,2
Internal/methods*,2
Amino Acid,2
Hypertension/etiology,2
Transcription Factors/metabolism,2
Gene Expression,2
I-kappa B Kinase/metabolism,2
Substrate Specificity,2
Human/virology,2
Greece,2
Quality of Life,2
Thermodynamics,2
Cardiac Tamponade/etiology*,2
Hospital*,2
Cell Division*,2
Disease-Free Survival,2
Proto-Oncogene Proteins/genetics,2
Immunotherapy,2
New Zealand,2
Reflex/physiology,2
Antineoplastic Agents/administration & dosage,2
Tandem Mass Spectrometry,2
Sigmoid Neoplasms/surgery,2
Medical Missions,2
DNA Damage,2
Neurons/physiology*,2
Poliomyelitis/epidemiology*,2
Serine Endopeptidases/chemistry*,2
Sequence Homology,2
Brain/physiology,2
Experimental/metabolism,2
Pyridines/pharmacology,2
Organization and Administration*,2
Attitude to Health*,2
Muscle Fibers,2
Muscle Contraction/physiology,2
Chronic/therapy*,2
Platelet Aggregation Inhibitors/therapeutic use,2
USSR,2
Monitoring,2
Licensure,2
Cell Differentiation*,2
Monoamine Oxidase Inhibitors/pharmacology*,2
Tumor Necrosis Factor-alpha/pharmacology,2
Maine,2
Antiviral Agents/therapeutic use*,2
Brain Mapping/methods*,2
Synaptic Transmission/physiology,2
Immunoglobulins,2
Medicine*,2
Attitudes,2
Nuclear Proteins/agonists,2
Preclinical,2
Retina/metabolism*,2
Health Education/organization & administration*,2
Intraventricular,2
Local*,2
DNA/metabolism,2
Multigene Family,2
Adenylyl Cyclase Inhibitors,2
Disease Outbreaks,2
Ultrasonography,2
Vascular Resistance,2
Laparoscopy*,2
Lymphocyte Activation,2
Adenosine Triphosphate/pharmacology,2
Personality Assessment,2
Hemoglobins*,2
Vaccination*,2
Internal-External Control,2
Discrimination Learning/physiology,2
Renal Dialysis*,2
Oryza/chemistry,2
Continuity of Patient Care*,2
Qualitative Research,2
Mental Disorders/therapy*,2
Muscular Atrophy,2
Proliferating Cell Nuclear Antigen/biosynthesis*,2
Neoplasm Invasiveness,2
Motor Activity/physiology*,2
Fatal Outcome,2
Genetic/genetics,2
Discrimination Learning/drug effects*,2
Cellular,2
Hydrolysis,2
Protein Folding*,2
Alleles,2
Ligands*,2
Child Health Services*,2
Food Preferences,2
Hip/adverse effects*,2
Escherichia coli Infections/microbiology,2
Blood Flow Velocity/physiology,2
Type 2/complications,2
Medicinal*,2
Neoplasms/genetics*,2
Health Policy*,2
Lipoproteins,2
Papilloma,2
Graduate*,2
19th Century,2
Protein Conformation,2
Electrodes,2
Brain/pathology,2
Analgesics,2
Government*,2
Microsomes,2
Respiratory Insufficiency/therapy*,2
Pituitary Gland,2
Mathematical Computing,2
Motivation,2
DNA/immunology,2
Synapses/physiology,2
Sub-Family B,2
Socioeconomic Factors,2
Pharmaceutical/methods*,2
France,2
Synaptic Transmission/drug effects,2
Sheep,2
Heparin,2
Proteome/metabolism*,2
Politics*,2
Neuropsychological Tests,2
Liver/drug effects,2
Radiation,2
Stroke/etiology*,2
Data Interpretation,2
Postoperative Complications/mortality,2
Quantum Theory,2
Basosquamous/pathology,2
Environmental Pollutants/analysis*,2
Erythrocytes/metabolism*,2
Tertiary,2
Hydrocarbons,2
Colony Count,2
Calcium/metabolism,2
Financial Management,2
Atrophy,2
Preoperative Care/methods,2
Hospitalization,2
Liver/drug effects*,2
Skin/metabolism*,2
Trees*,2
tau Proteins/analysis,2
Culture,2
Organizations*,2
Surgical,2
Spain/epidemiology,2
Lung/blood supply*,2
Heart Rate/physiology*,2
Professional,2
Ion Exchange,2
Signal Transduction/physiology*,2
Quality Assurance,2
Hot Temperature,2
Child Behavior Disorders/therapy,2
Cognition Disorders/diagnosis,2
Physician's Role*,2
Lymphocyte Activation*,2
Horses,2
Family/psychology*,2
Apoptosis,2
Postoperative Complications/etiology,2
Implantable*,2
Disease Outbreaks*,2
Depressive Disorder,2
Hepatitis C,2
Skin/pathology,2
Organometallic Compounds,2
Heparin/pharmacology,2
Dental,2
Leukemia Virus,2
Chemical/analysis*,2
Squamous Cell/pathology,2
Contraindications,2
Diffusion,2
Neurological*,2
Potassium/blood,2
Indicators and Reagents,2
Paper,2
Immunologic,2
Epigenesis,2
Length of Stay,2
Crystallization,2
Motor Activity*,2
Amino Acid Motifs,2
Conservation of Natural Resources,2
Culture Media,2
Emergency Medical Services/organization & administration*,2
Type 2/blood*,2
Surgical Flaps,2
Necrosis,2
Physicians*,2
Wound Healing*,2
Intubation,2
Homologous,2
Keratins/analysis*,2
Magnesium/blood,2
Tetradecanoylphorbol Acetate/pharmacology,2
Drug Design*,2
Work*,2
Statistical,2
Cyclic AMP-Dependent Protein Kinases/antagonists & inhibitors,2
Faculty,2
Medical*/organization & administration,2
Monoclonal/immunology,2
Peptides/isolation & purification,2
Chemotherapy,2
Health Education/methods,2
Calcium/urine,2
Hereditary*,2
Interpersonal Relations,2
Peptides/chemistry,2
Intraocular*,2
Toxicology*,2
Stereoisomerism,2
Housing*,2
Seasons,2
Radionuclide Imaging,2
Environmental Health*,2
Motor Neurons/physiology*,2
Urinary Bladder/drug effects*,2
Articular/pathology,2
Tumor/analysis*,2
Genome-Wide Association Study,2
Platelet Aggregation/drug effects*,2
Newborn*,2
Antiviral Agents/pharmacology*,2
Neurons,2
Electric Stimulation,2
Hybridization,2
Hygiene*,2
Breast Neoplasms/pathology,2
Body Temperature,2
Peptides/pharmacology*,2
Prosthesis Failure,2
Graduate/standards,2
Biomarkers/metabolism,2
Social Perception,2
Matrix-Assisted Laser Desorption-Ionization,2
Aging/physiology*,2
Phylogeny,2
Tissue Distribution,2
Technology,2
Impulse Control,2
Physical Stimulation,2
Environmental Monitoring,2
Urography,2
Electrophysiology,2
Bacterial Infections/drug therapy*,2
Cattle Diseases/epidemiology*,2
Spectrophotometry,2
Infectious/drug therapy*,2
Hair,2
California,2
Seizures/etiology,2
Cross-Over Studies,2
Infertility,2
Animal/drug effects*,2
Stents*,2
In Situ Hybridization,2
Intestine,2
Seeds/chemistry,2
Mutation*,2
Reverse Transcriptase Polymerase Chain Reaction/standards*,2
Thin Layer,2
Physician-Patient Relations*,2
Attitude of Health Personnel*,2
Memory/physiology*,2
ATP-Binding Cassette,2
DNA,2
Rural Health,2
Statistics as Topic,2
Physical Exertion,2
Leukemia,2
Structure-Activity Relationship,2
Plant Development,2
Syk Kinase,2
Drug Therapy*,2
Mitochondria/physiology*,2
Technology Assessment,2
Promoter Regions,2
DNA-Binding Proteins/genetics,2
Carotid Artery,2
Drug Interactions,2
Bacteria/genetics,2
Lymphocytes/immunology*,2
Obesity/complications,2
Mass Spectrometry/methods*,2
Nursing Staff,2
Articular/injuries,2
Estradiol/blood,2
Psychological*,2
Chronic/blood,2
Cost Control,2
Russia,2
Pedigree,2
Chemokines,2
Nucleotides,2
Cyclosporine/pharmacology,2
Bacterial/genetics,2
Adiposity*,2
Combined Modality Therapy/methods,2
Membrane Proteins/analysis,2
Reoperation/methods,2
Hematopoietic Stem Cell Transplantation*,2
Intravenous*,2
Software,2
Feedback,2
Preclinical/methods*,2
Breast Neoplasms/genetics,2
Genome,2
Myocardial Infarction/diagnosis*,2
Liver/metabolism,2
Cell Nucleus/metabolism,2
Personnel,2
Attitude of Health Personnel,2
Cloning,2
Interpersonal Relations*,2
Escherichia coli,2
Gene Expression Regulation/drug effects*,2
Bone Diseases*,2
Benzimidazoles/pharmacology*,2
Oxidants,2
Vascular/metabolism,2
Multiple,2
Sus scrofa,2
Image Enhancement/methods*,2
Limit of Detection,2
Neoplasm Metastasis,2
Mitral Valve/surgery*,2
Principal Component Analysis,2
Internship and Residency*,2
Adjuvant,2
Plant Proteins/genetics,2
Numerical Analysis,2
Phosphoproteins*,2
Aspirin/therapeutic use,2
Students,2
Sexual Behavior,2
Poland,2
Fraud/legislation & jurisprudence*,2
Heart Failure/physiopathology,2
Heterozygote,2
India/epidemiology,2
Health Planning*,2
Secondary,2
Angioplasty,2
Transcription Factors/physiology*,2
Myositis,2
Medical Records Systems,2
Antineoplastic Agents/adverse effects*,2
Tritium,2
Experimental*,2
Nutritional Status*,2
Practice Guidelines as Topic*,2
Orthodontics,2
Alkaline Phosphatase,2
Reference Standards,2
Defibrillators,2
Protein Interaction Mapping/methods*,2
Smoking/adverse effects*,2
Bacterial,2
Surgery,2
Cell Differentiation,2
Costs and Cost Analysis,2
Anesthetics,2
Drug Synergism,2
Developing Countries,2
Oxygen/blood,2
Insurance,2
Neoplasm/analysis,2
Ancient,2
Anticoagulants/therapeutic use,2
Computer-Assisted/methods*,2
Adrenal Cortex*,2
Multivariate Analysis,2
Solutions,2
Enzyme Activation/drug effects,2
Computerized*,2
Light*,2
Eating/psychology*,2
Antioxidants/therapeutic use,2
Affective Disorders,2
Skin/metabolism,2
Human/complications*,2
Risk,2
Research*,2
Brain/pathology*,2
Heart Rate,2
Signal Transduction/drug effects,2
Sequence Analysis,2
Quality of Health Care,2
Environmental Exposure/analysis*,2
Biomarkers/blood,2
Obesity/complications*,2
Antiretroviral Therapy,2
Circular Dichroism,2
Physiological/genetics,2
User-Computer Interface,2
Bacterial Infections/microbiology*,2
Head and Neck Neoplasms/pathology,2
Bacterial Proteins/metabolism,2
Mental Recall*,2
Radioisotope Dilution Technique,2
South America,1
Synaptophysin/metabolism,1
Gas Chromatography-Mass Spectrometry,1
Choline O-Acetyltransferase/metabolism,1
Tablets,1
Birth Weight/physiology,1
Biliary Tract Diseases/surgery,1
Anger*,1
Hypertension/physiopathology,1
Quinic Acid/metabolism*,1
Physiologic/methods*,1
Bacteriophage lambda/chemistry,1
Peripheral Vascular Diseases/etiology*,1
Nanotubes*,1
Edentulous/diagnostic imaging,1
Vulvar Neoplasms/pathology*,1
Soft Tissue Neoplasms/radiotherapy*,1
Human/genetics,1
Ethanol/pharmacokinetics,1
Periprosthetic Fractures/diagnostic imaging,1
Hematologic/drug therapy,1
Pulmonary/physiopathology,1
Acid-Base Equilibrium/physiology*,1
Southern,1
Preoperative Care/methods*,1
2,1
3,1
Retina/drug effects*,1
Experimental/metabolism*,1
Combination/methods,1
Embryo Transfer,1
HIV Infections/transmission,1
Arrestins/classification,1
Psychophysiologic Disorders/etiology*,1
Esophageal Atresia/surgery,1
Rectal Neoplasms/epidemiology*,1
Tongue/physiopathology*,1
Hospitalization/trends,1
Health Services Accessibility/standards*,1
Melanoma/pathology,1
Estradiol/pharmacology,1
Seedlings/drug effects,1
Health Plan Implementation/methods*,1
Ureteral Diseases/diagnosis*,1
Rectal Neoplasms/pathology*,1
Iohexol,1
Rectal Neoplasms/therapy,1
Turtles*,1
Data Collection,1
Leukocyte Count/methods,1
Somatostatin/analysis*,1
Adenoma,1
Adrenal Cortex Hormones/metabolism,1
Glycyrrhizic Acid,1
Intracranial Aneurysm/diagnostic imaging*,1
Cerebrovascular Disorders/complications,1
Morphine*/adverse effects,1
Dietary Fats*,1
Pulmonary Artery/drug effects,1
Appendicitis/diagnosis*,1
Cell Count/drug effects,1
Diseases/physiopathology*,1
Intellectual Disability/rehabilitation*,1
Trachea,1
Cardiovascular Diseases/economics,1
Lymph*,1
Triage/standards,1
Oligonucleotide Probes,1
Happiness,1
Chinese Herbal/therapeutic use,1
Hypothyroidism/metabolism,1
Lamin Type A/metabolism,1
Developing Countries/history,1
Non-Small-Cell Lung/diagnosis*,1
Organ Specificity,1
Coronary Disease/diagnosis,1
Randomized Controlled Trials as Topic*,1
Persistent Vegetative State,1
Bacterial Proteins/genetics,1
European Union,1
Self Care/psychology*,1
Weight Loss,1
Hand/pathology*,1
IgG/metabolism,1
Single Nucleotide/genetics,1
Sternum*,1
Excitatory Amino Acid Transporter 2/metabolism*,1
University,1
Amines/analysis*,1
Pharmacy,1
Cartilage Diseases*,1
Adiponectin/blood,1
Infectious/therapy,1
Globins/genetics*,1
Cyclopropanes/pharmacology,1
GTP-Binding Proteins/metabolism*,1
Spinal/genetics*,1
Religious Philosophies/history*,1
Viral Envelope Proteins,1
Depressive Disorder/etiology*,1
Restaurants*,1
Thymus Gland/cytology,1
Interleukin-12/therapeutic use*,1
Antigen,1
Genome/genetics*,1
Health Promotion,1
Ilium/transplantation,1
Ureteral Calculi/complications,1
Physiological/physiology*,1
Concanavalin A/metabolism*,1
Adrenal Glands/physiology*,1
Cell Nucleus/metabolism*,1
Plant Extracts/chemistry,1
Ruptured/diagnostic imaging*,1
Urban/economics,1
